WD15CD,WD15NM,LGD15CD,LGD15NM
N08000101,Abbey,N09000001,Antrim and Newtownabbey
N08000102,Aldergrove,N09000001,Antrim and Newtownabbey
N08000103,Antrim Centre,N09000001,Antrim and Newtownabbey
N08000104,Ballyclare East,N09000001,Antrim and Newtownabbey
N08000105,Ballyclare West,N09000001,Antrim and Newtownabbey
N08000106,Ballyduff,N09000001,Antrim and Newtownabbey
N08000107,Ballyhenry,N09000001,Antrim and Newtownabbey
N08000108,Ballynure,N09000001,Antrim and Newtownabbey
N08000109,Ballyrobert,N09000001,Antrim and Newtownabbey
N08000110,Burnthill,N09000001,Antrim and Newtownabbey
N08000111,Carnmoney,N09000001,Antrim and Newtownabbey
N08000112,Carnmoney Hill,N09000001,Antrim and Newtownabbey
N08000113,Clady,N09000001,Antrim and Newtownabbey
N08000114,Collinbridge,N09000001,Antrim and Newtownabbey
N08000115,Cranfield,N09000001,Antrim and Newtownabbey
N08000116,Crumlin,N09000001,Antrim and Newtownabbey
N08000117,Doagh,N09000001,Antrim and Newtownabbey
N08000118,Fairview,N09000001,Antrim and Newtownabbey
N08000119,Fountain Hill,N09000001,Antrim and Newtownabbey
N08000120,Glebe,N09000001,Antrim and Newtownabbey
N08000121,Glengormley,N09000001,Antrim and Newtownabbey
N08000122,Greystone,N09000001,Antrim and Newtownabbey
N08000123,Hightown,N09000001,Antrim and Newtownabbey
N08000124,Jordanstown,N09000001,Antrim and Newtownabbey
N08000125,Mallusk,N09000001,Antrim and Newtownabbey
N08000126,Monkstown,N09000001,Antrim and Newtownabbey
N08000127,Mossley,N09000001,Antrim and Newtownabbey
N08000128,O'Neill,N09000001,Antrim and Newtownabbey
N08000129,Parkgate,N09000001,Antrim and Newtownabbey
N08000130,Randalstown,N09000001,Antrim and Newtownabbey
N08000131,Rathcoole,N09000001,Antrim and Newtownabbey
N08000132,Rostulla,N09000001,Antrim and Newtownabbey
N08000133,Shilvodan,N09000001,Antrim and Newtownabbey
N08000134,Springfarm,N09000001,Antrim and Newtownabbey
N08000135,Steeple,N09000001,Antrim and Newtownabbey
N08000136,Stiles,N09000001,Antrim and Newtownabbey
N08000137,Templepatrick,N09000001,Antrim and Newtownabbey
N08000138,Toome,N09000001,Antrim and Newtownabbey
N08000139,Valley,N09000001,Antrim and Newtownabbey
N08000140,Whitehouse,N09000001,Antrim and Newtownabbey
N08000201,Aghagallon,N09000002,"Armagh, Banbridge and Craigavon"
N08000202,Ballybay,N09000002,"Armagh, Banbridge and Craigavon"
N08000203,Banbridge East,N09000002,"Armagh, Banbridge and Craigavon"
N08000204,Banbridge North,N09000002,"Armagh, Banbridge and Craigavon"
N08000205,Banbridge South,N09000002,"Armagh, Banbridge and Craigavon"
N08000206,Banbridge West,N09000002,"Armagh, Banbridge and Craigavon"
N08000207,Blackwatertown,N09000002,"Armagh, Banbridge and Craigavon"
N08000208,Bleary,N09000002,"Armagh, Banbridge and Craigavon"
N08000209,Brownlow,N09000002,"Armagh, Banbridge and Craigavon"
N08000210,Cathedral,N09000002,"Armagh, Banbridge and Craigavon"
N08000211,Corcrain,N09000002,"Armagh, Banbridge and Craigavon"
N08000212,Craigavon Centre,N09000002,"Armagh, Banbridge and Craigavon"
N08000213,Demesne,N09000002,"Armagh, Banbridge and Craigavon"
N08000214,Derrytrasna,N09000002,"Armagh, Banbridge and Craigavon"
N08000215,Donaghcloney,N09000002,"Armagh, Banbridge and Craigavon"
N08000216,Dromore,N09000002,"Armagh, Banbridge and Craigavon"
N08000217,Gilford,N09000002,"Armagh, Banbridge and Craigavon"
N08000218,Gransha,N09000002,"Armagh, Banbridge and Craigavon"
N08000219,Hamiltonsbawn,N09000002,"Armagh, Banbridge and Craigavon"
N08000220,Keady,N09000002,"Armagh, Banbridge and Craigavon"
N08000221,Kernan,N09000002,"Armagh, Banbridge and Craigavon"
N08000222,Killycomain,N09000002,"Armagh, Banbridge and Craigavon"
N08000223,Knocknashane,N09000002,"Armagh, Banbridge and Craigavon"
N08000224,Lough Road,N09000002,"Armagh, Banbridge and Craigavon"
N08000225,Loughbrickland,N09000002,"Armagh, Banbridge and Craigavon"
N08000226,Loughgall,N09000002,"Armagh, Banbridge and Craigavon"
N08000227,Magheralin,N09000002,"Armagh, Banbridge and Craigavon"
N08000228,Mahon,N09000002,"Armagh, Banbridge and Craigavon"
N08000229,Markethill,N09000002,"Armagh, Banbridge and Craigavon"
N08000230,Mourneview,N09000002,"Armagh, Banbridge and Craigavon"
