Identifier,Title,Funding Org:Identifier,Funding Org:Name,Recipient Org:Charity Number,Recipient Org:Name,Internal Organisation ID,Currency,Amount Applied For,Amount Awarded,Application Date:Start Date,Award Date,Recipient Org:Street Address,Recipient Org:City,Recipient Org:County,Recipient Org:Postal Code,Recipient Org:Country,Recipient Org:Alternate Name,Recipient Org:Description,Planned Dates:Start Date,Planned Dates:Duration (months),Planned Dates:End Date,Beneficiary Location:Name,Beneficiary Location:Country Code,Beneficiary Location:Latitude/Longitude,Description,WebAddress,From an open call?,Related Activity:Identifier,Last modified,Recipient Org:Identifier
360G-indigotrust:IND1,Space to Imagine,360G-indigotrust,Indigo Trust,1070468,Discover,6997,GBP,,10000,,26/03/2001 00:00,383-387 High Street,Stratford,,E15 4QZ,UK,,,,12 months,,UK,,,Towards the expansion of the Space to Imagine Programme.,,,,29/04/2015 12:10,GB-CHC-1070468
360G-indigotrust:IND2,Virtual Day Centre,360G-indigotrust,Indigo Trust,,HM YOI Huntercombe,4588,GBP,,75000,,26/09/2001 00:00,"Huntercombe Place, Nuffield",Henley on Thames,Oxfordshire,RG9 5SB,UK,,,,24 months,,UK,GB,,To fund the first year's work of the Virtual Day Centre.,,,,02/12/2003 15:53,360G-indigotrust:org-4588
360G-indigotrust:IND3,Womens Drop-in Group,360G-indigotrust,Indigo Trust,1014576,Refugee Council,6627,GBP,,15000,,26/09/2001 00:00,Gredley House,1-11 Broadway,London,E15 4BQ,UK,,,,12 months,,UK,GB,,Towards the Women's Drop-in Group and English Language Courses.,,,,02/12/2002 14:51,GB-CHC-1014576
360G-indigotrust:IND4,feasibility study,360G-indigotrust,Indigo Trust,1018517,Community Links,1696,GBP,,8000,,26/09/2001 00:00,"Tan y Clogwyn, Pistyll",Pwllheli,Gwynedd,LL53 6LP,UK,,,,12 months,,UK,GB,,Towards The Uncounted feasibility study.,,,,02/12/2002 14:51,GB-CHC-1018517
360G-indigotrust:IND5,merger period,360G-indigotrust,Indigo Trust,1031291,Kids VIP,7636,GBP,,20000,,25/03/2002 00:00,PO Box 756,Haywards Heath,West Sussex,RH16 9HW,UK,,,,12 months,,UK,GB,,To help VIP through a six month merger negotiation period.,,,,02/12/2002 14:51,GB-CHC-1031291
360G-indigotrust:IND6,autobiography projec,360G-indigotrust,Indigo Trust,,Writers in Prison Network Ltd,7899,GBP,,20000,,28/08/2002 00:00,PO Box 71,Welshpool,,SY21 0WB,UK,,,,12 months,,UK,GB,,Towards the costs of piloting the autobiography project in prisons.,,,,02/12/2002 14:51,360G-indigotrust:org-7899
360G-indigotrust:IND7,public awareness pro,360G-indigotrust,Indigo Trust,1054154,Women's Aid Federation England,3606,GBP,,43000,,28/08/2002 00:00,PO Box 391,Bristol,,BS99 7WS,UK,,,,24 months,,UK,GB,,"Towards the costs of the public awareness programme (£35,000) and the 
children's services (£8,000).",,,,02/12/2002 14:51,GB-CHC-1054154
360G-indigotrust:IND9,Space to Imagine,360G-indigotrust,Indigo Trust,1070468,Discover,6997,GBP,,15000,,28/08/2002 00:00,383-387 High Street,Stratford,,E15 4QZ,UK,,,,12 months,,UK,GB,,"Towards the costs of the ""Space to Imagine"" nursery schools outreach 
programme.",,,,02/12/2002 14:51,GB-CHC-1070468
360G-indigotrust:IND10,Write to Life Projec,360G-indigotrust,Indigo Trust,1000340,Medical Foundation for the Care of Victims of Torture,7228,GBP,,23000,,28/08/2002 00:00,111 Isledon Road,Islington,London,N7 7JW,UK,,,,24 months,,UK,GB,,Towards the costs of the Write to Life project.,,,,02/12/2002 14:51,GB-CHC-1000340
360G-indigotrust:IND11,Training courses,360G-indigotrust,Indigo Trust,207782,St Christopher's Fellowship,5112,GBP,,40000,,28/08/2002 00:00,1 Putney High Street,London,,SW15 1SZ,UK,,,,24 months,,UK,GB,,Towards the costs of training courses at the Lime Grove Project.,,,,02/12/2002 14:51,GB-CHC-207782
